country_code,indicator_code,indicator_name,year,value
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,8556.21406956719
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,8159.08720967996
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,6571.97445545099
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,4685.17997128509
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,4268.68093304583
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,4597.22887399548
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,4196.00562301769
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,3869.05373867752
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,3524.42476874707
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,3512.39350276709
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,3852.11800610384
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,3680.16692158886
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,3511.56399687426
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,3349.55309771906
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,3041.34450723339
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,2820.5926553347
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,3777.66859313767
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,2962.70234594569
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,2041.65267068997
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,1557.48458908655
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,1130.08791444158
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,882.030167695474
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,742.651118319819
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,659.588988535629
ARM,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,593.450581742282
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,38590.5650288641
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,34897.6183932009
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,31000.5713798732
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,26827.3447869986
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,22664.3709949437
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,30654.4851235397
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,30082.1584226798
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,28440.0416881491
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,27441.5502144601
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,27458.2201537506
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,26129.8390617693
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,25813.5714408438
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,25119.6655449838
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,25712.3843015186
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,24093.1401510626
ABW,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,25134.7712303589
