"country_name","region","income_group","life_expectancy_2000","life_expectancy_2024","life_expectancy_improvement","under5_mortality_reduction"
"Pakistan","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",61.90,67.80,5.90,51.90
"Algeria","Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",70.58,76.48,5.90,20.10
"Madagascar","Sub-Saharan Africa ","Low income",57.97,63.84,5.86,42.00
"China","East Asia & Pacific","Upper middle income",72.29,78.02,5.73,30.90
"Denmark","Europe & Central Asia","High income",76.59,82.25,5.66,1.60
"Guatemala","Latin America & Caribbean ","Upper middle income",67.10,72.75,5.64,31.30
"Ecuador","Latin America & Caribbean ","Upper middle income",72.09,77.58,5.49,16.70
"Turkiye","Europe & Central Asia","Upper middle income",71.93,77.42,5.49,27.60
"Hungary","Europe & Central Asia","High income",71.25,76.72,5.48,6.40
"Belarus","Europe & Central Asia","Upper middle income",68.91,74.37,5.45,10.50
"Armenia","Europe & Central Asia","Upper middle income",72.88,78.32,5.44,21.00
"Singapore","East Asia & Pacific","High income",77.95,83.35,5.40,1.20
"Thailand","East Asia & Pacific","Upper middle income",71.21,76.56,5.36,12.70
"Slovak Republic","Europe & Central Asia","High income",73.05,78.37,5.32,3.30
"Luxembourg","Europe & Central Asia","High income",77.87,83.20,5.32,2.50
"San Marino","Europe & Central Asia","High income",80.50,85.82,5.31,3.90
"Romania","Europe & Central Asia","High income",71.16,76.46,5.30,14.10
"Turkmenistan","Europe & Central Asia","Upper middle income",64.93,70.20,5.27,29.70
"Lithuania","Europe & Central Asia","High income",72.02,77.20,5.18,7.30
"Czechia","Europe & Central Asia","High income",74.97,79.98,5.01,2.90
"Indonesia","East Asia & Pacific","Upper middle income",66.29,71.29,5.00,33.70
"Trinidad and Tobago","Latin America & Caribbean ","High income",68.63,73.62,4.99,10.00
"Albania","Europe & Central Asia","Upper middle income",74.83,79.78,4.95,17.80
"Spain","Europe & Central Asia","High income",78.97,83.89,4.92,2.20
"Palau","East Asia & Pacific","High income",64.50,69.38,4.88,5.10
"Finland","Europe & Central Asia","High income",77.47,82.34,4.87,1.90
"Belize","Latin America & Caribbean ","Upper middle income",68.91,73.74,4.83,11.80
"Honduras","Latin America & Caribbean ","Lower middle income",68.30,73.04,4.74,22.30
"Switzerland","Europe & Central Asia","High income",79.68,84.41,4.73,1.70
"Poland","Europe & Central Asia","High income",73.75,78.41,4.66,5.10
"Papua New Guinea","East Asia & Pacific","Lower middle income",61.61,66.26,4.65,32.60
"Malta","Middle East, North Africa, Afghanistan & Pakistan","High income",78.35,82.96,4.61,2.30
"El Salvador","Latin America & Caribbean ","Upper middle income",67.71,72.30,4.59,22.20
"Belgium","Europe & Central Asia","High income",77.72,82.30,4.58,2.20
"Georgia","Europe & Central Asia","Upper middle income",70.09,74.66,4.57,27.20
"Norway","Europe & Central Asia","High income",78.63,83.16,4.53,2.40
"Montenegro","Europe & Central Asia","Upper middle income",73.40,77.89,4.49,11.80
